"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Tyson Williams","New Zealand",23,1.9,90,"M",1989-01-04,"",0,0,0,0,"Rowing","Men's Four"
"Venus Williams","United States of America",32,1.85,75,"F",NA,"",0,0,0,0,"Tennis","Women's Singles, Women's Doubles"
"Novlene Williams-Mills","Jamaica",30,1.68,57,"F",NA,"St Ann (JAM)",0,0,0,0,"Athletics","Women's 400m, Women's 4 x 400m Relay"
"Alison Williamson","Great Britain",40,1.75,75,"F",1971-03-11,"MELTON MOWBRAY",0,0,0,0,"Archery","Women's Individual, Women's Team"
"Simeon Williamson","Great Britain",26,1.86,95,"M",NA,"London (GBR)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"Andrew Willis","Great Britain",21,1.88,85,"M",1990-03-12,"FRIMLEY (GBR)",0,0,0,0,"Swimming","Men's 200m Breaststroke"
"Benita Willis","Australia",33,1.66,50,"F",1979-06-05,"Mackay (AUS)",0,0,0,0,"Athletics","Women's Marathon"
"Nicholas Willis","New Zealand",29,1.83,68,"M",NA,"Lower Hutt (NZL)",0,0,0,0,"Athletics","Men's 1500m"
"Robert Willis","United States of America",25,1.93,79,"M",NA,"Chicago (USA)",0,0,0,0,"Sailing","Men's RS-X"
"Aimee Willmott","Great Britain",19,1.72,56,"F",NA,"MIDDLESBROUGH (GBR)",0,0,0,0,"Swimming","Women's 400m Individual Medley"
"Sam Willoughby","Australia",20,1.73,85,"M",NA,"BEDFORD PARK (AUS)",0,0,0,0,"Cycling-BMX","Men's BMX"
"Alan Wills","Great Britain",31,1.79,84,"M",1981-03-08,"PETERLEE",0,0,0,0,"Archery","Men's Individual, Men's Team"
"Alastair Wilson","Great Britain",28,1.87,84,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Alex Wilson","Switzerland",21,1.82,78,"M",NA,"Kingston (JAM)",0,0,0,0,"Athletics","Men's 200m"
"Hannah Wilson","Hong Kong, China",23,1.65,60,"F",1989-10-03,"Hong Kong (HKG)",0,0,0,0,"Swimming","Women's 100m Freestyle, Women's 100m Butterfly"
"Jennifer Wilson","South Africa",33,1.67,62,"F",NA,"Harare, Zimbabwe (RSA)",0,0,0,0,"Hockey","Women's Hockey"
"Melanie Wilson","Great Britain",28,1.82,75,"F",NA,"",0,0,0,0,"Rowing","Women's Quadruple Sculls"
"Nicholas Wilson","New Zealand",21,1.8,81,"M",1990-06-08,"",0,0,0,0,"Hockey","Men's Hockey"
"Nickiesha Wilson","Jamaica",26,1.76,62,"F",NA,"Kingston (JAM)",0,0,0,0,"Athletics","Women's 400m Hurdles"
"Nicola Wilson","Great Britain",35,1.77,64,"F",1976-01-10,"Darlington (GBR)",0,1,0,1,"Equestrian","Individual Eventing, Team Eventing, OPPOSITION BUZZ"
"Peter Robert Russell Wilson","Great Britain",25,1.98,90,"M",NA,"DORCHESTER (GBR)",1,0,0,1,"Shooting","Men's Double Trap"
"Elsie Windes","United States of America",27,1.78,70,"F",NA,"Portland (USA)",0,0,0,0,"Water Polo","Women's Water Polo"
"Jenly Tegu Wini","Solomon Islands",29,NA,57,"F",1983-09-06,"Honiara",0,0,0,0,"Weightliftng","Women's 58kg"
"Michal Winiarski","Poland",28,2,94,"M",NA,"Bydgoszcz (POL)",0,0,0,0,"Volleyball","Men's Volleyball"
"Angie Winstanley - Smith","Great Britain",26,1.79,62,"F",1985-05-08,"",0,0,0,0,"Water Polo","Women's Water Polo"
"Kasper Winther","Denmark",27,1.82,73,"M",NA,"",0,0,1,1,"Rowing","Men's Lightweight Four"
"Sara Winther","New Zealand",30,1.64,67,"F",NA,"New Plymouth (NZL)",0,0,0,0,"Sailing","Women's Laser Radial"
"Putu Wiradamungga","Indonesia",20,NA,80,"M",1991-02-12,"BANGLI",0,0,0,0,"Judo","Men's -81kg"
"Toea Wisil","Papua New Guinea",24,1.68,63,"F",1988-01-01,"HIGHLANDS (PNG)",0,0,0,0,"Athletics","Women's 100m"
"Alain Wiss","Switzerland",21,1.8,73,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Matthias Witthaus","Germany",29,1.72,70,"M",1982-11-10,"",0,0,0,0,"Hockey","Men's Hockey"
"Anita Wlodarczyk","Poland",26,1.78,95,"F",1985-08-08,"RAWICZ (POL)",0,0,0,0,"Athletics","Women's Hammer Throw"
"Maja Wloszczowska","Poland",28,1.7,53,"F",1983-09-11,"Warszawa (POL)",0,0,0,0,"Cyclng-MntnB","Women's Cross-country"
"Patrick Wojcicki","Germany",20,1.79,NA,"M",NA,"Wolfsburg (GER)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Pawel Wojciechowski","Poland",23,1.9,85,"M",1989-06-06,"Bydgoszcz (POL)",0,0,0,0,"Athletics","Men's Pole Vault"
"Katarzyna Wojcik","Poland",29,1.65,57,"F",NA,"CZESTOCHOWA (POL)",0,0,0,0,"ModrnPntthln","Women's Modern Pentathlon"
"Janusz Wojnarowicz","Poland",32,1.98,170,"M",NA,"TYCHY (POL)",0,0,0,0,"Judo","Men's +100kg"
"Malgorzata Wojtkowiak","Poland",30,1.69,65,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Foil, Women's Team Foil"
"Malgorzata Wojtyra","Poland",22,1.76,70,"F",NA,"Szczecin (POL)",0,0,0,0,"Cycling-Trck","Women's Omnium"
"Dawit Wolde","Ethiopia",21,1.74,63,"M",NA,"Debrezeit (ETH)",0,0,0,0,"Athletics","Men's 1500m"
"Martin Wolfram","Germany",20,1.64,55,"M",NA,"Dresden (GER)",0,0,0,0,"Diving","Men's 10m Platform"
"Heide Wollert","Germany",30,1.7,72,"F",NA,"HALLE/SAALE (GER)",0,0,0,0,"Judo","Women's -78kg"
"Jeongsik Won","Republic of Korea",21,1.63,69,"M",1990-09-12,"Gangwon",0,0,0,0,"Weightliftng","Men's 69kg"
"Woo Young Won","Republic of Korea",30,1.82,76,"M",1982-03-02,"",0,0,0,0,"Fencing","Men's Individual Sabre, Men's Team Sabre"
"Derek Wong","Singapore",23,1.72,66,"M",NA,"Singapore",0,0,0,0,"Badminton","Men's Singles"
"Helena Wong","Singapore",24,1.58,52,"F",1988-11-04,"Singapore",0,0,0,0,"Weightliftng","Women's 53kg"
"Hiu Ying Angel Wong","Hong Kong, China",25,1.53,NA,"F",1987-11-05,"Hong Kong (HKG)",0,0,0,0,"Gymnstcs-Art","Women's Qualification"
"Kam-Po Wong","Hong Kong, China",39,1.73,59,"M",NA,"Hong Kong (HKG)",0,0,0,0,"C-MB,C-R,C-T","Men's Road Race, Men's Omnium"
"Wing Ki Wong","Hong Kong, China",22,1.82,76,"M",NA,"Hong Kong",0,0,0,0,"Badminton","Men's Singles"
"Sun Hee Woo","Republic of Korea",34,1.72,56,"F",1978-01-07,"",0,0,0,0,"Handball","Women's Handball"
"Chris Wood","New Zealand",20,1.91,92,"M",1991-07-12,"",0,0,0,0,"Football","Men's Football"
"Nicholas Woodbridge","Great Britain",26,1.88,78,"M",1986-01-07,"TELFORD (GBR)",0,0,0,0,"ModrnPntthln","Men's Modern Pentathlon"
"Gavin Woods","Australia",34,1.99,103,"M",1978-01-03,"",0,0,0,0,"Water Polo","Men's Water Polo"
"Jackson Darren Woods","Australia",19,1.62,NA,"M",1993-01-02,"LATROBE (AUS)",0,0,0,0,"Boxing","Men's Fly (52kg)"
"Kate Woods","South Africa",30,1.68,64,"F",1981-11-10,"Durban (RSA)",0,0,0,0,"Hockey","Women's Hockey"
"Trixi Worrack","Germany",30,1.6,50,"F",NA,"Cottbus (GER)",0,0,0,0,"Cycling-Road","Women's Individual Time Trial, Women's Road Race"
"Blake Worsley","Canada",24,1.67,95,"M",1987-07-11,"North Vancouver (CAN)",0,0,0,0,"Swimming","Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
"Taylor Worth","Australia",21,1.74,60,"M",1991-08-01,"BUSSELTON",0,0,0,0,"Archery","Men's Individual"
"Mark Worthington","Australia",29,2.03,107,"M",1983-08-06,"",0,0,0,0,"Basketball","Men's Basketball"
"Caroline Wozniacki","Denmark",22,1.79,65,"F",1990-11-07,"",0,0,0,0,"Tennis","Women's Singles"
"Aleksandra Wozniak","Canada",24,1.75,63,"F",1987-07-09,"",0,0,0,0,"Tennis","Women's Singles, Women's Doubles"
"Dagmara Wozniak","United States of America",24,1.73,77,"F",1988-01-07,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"Kim Wraae","Denmark",34,1.82,84,"M",NA,"",0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m, Men's Kayak Four (K4) 1000m"
"Adam Wright","United States of America",35,1.92,88,"M",1977-04-05,"",0,0,0,0,"Water Polo","Men's Water Polo"
"Chris Wright","Australia",24,1.86,84,"M",1988-07-05,"CAIRNS (AUS)",0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 200m Butterfly"
"David Wright","Canada",30,1.85,80,"M",1981-03-11,"Montreal (CAN)",0,0,0,0,"Sailing","Men's Laser"
"Paula Wronska","Poland",20,1.64,62,"F",1991-01-12,"LEBORK (POL)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"Julian Wruck","Australia",21,1.98,116,"M",1991-06-07,"SOUTH BRISBANE (AUS)",0,0,0,0,"Athletics","Men's Discus Throw"
"Erica Wu","United States of America",16,1.68,54,"F",NA,"Arcadia (USA)",0,0,0,0,"Table Tennis","Women's Team"
"Jiaduo Wu","Germany",34,1.66,57,"F",NA,"LINHAI",0,0,0,0,"Table Tennis","Women's Singles, Women's Team"
"Jingbiao Wu","People's Republic of China",23,1.63,56,"M",1989-10-01,"FUJIAN",0,1,0,1,"Weightliftng","Men's 56kg"
"Jingyu Wu","People's Republic of China",25,1.68,NA,"F",1987-01-02,"JIANGXI (CHN)",0,0,0,0,"Taekwondo","Women's -49kg"
"Melissa Wu","Australia",20,1.52,50,"F",1992-03-05,"Penrith (AUS)",0,0,0,0,"Diving","Women's 10m Platform"
"Minxia Wu","People's Republic of China",26,1.67,53,"F",1985-10-11,"Shanghai (CHN)",1,0,0,1,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard"
"Peng Wu","People's Republic of China",25,1.85,76,"M",NA,"Zhejiang (CHN)",0,0,0,0,"Swimming","Men's 200m Butterfly, Men's 200m Individual Medley"
"Penggen Wu","People's Republic of China",30,2,95,"M",1982-07-05,"",0,0,0,0,"BeachVllybll","Men's Beach Volleyball"
"Shugen Wu","People's Republic of China",24,1.58,48,"F",NA,"NEIMONGGOL (CHN)",0,0,0,0,"Judo","Women's -48kg"
"Yanan Wu","People's Republic of China",26,1.69,60,"F",1985-08-12,"",0,0,0,0,"Canoe Sprint","Women's Kayak Double (K2) 500m"
"Yiwen Wu","People's Republic of China",25,1.68,NA,"F",1986-05-08,"Shanghai (CHN)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Jacob Wukie","United States of America",26,1.8,73,"M",1986-11-05,"MASSILLON",0,1,0,1,"Archery","Men's Individual, Men's Team"
"Mikaela Wulff","Finland",22,1.83,68,"F",NA,"Helsinki (FIN)",0,0,0,0,"Sailing","Women's Elliott 6m"
"Claudia Wurzel","Italy",25,1.8,66,"F",1987-01-05,"",0,0,0,0,"Rowing","Women's Pair"
"Patrycja Wyciszkiewicz","Poland",18,1.7,53,"F",1994-08-01,"SREM (POL)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Dylan Wykes","Canada",29,1.87,68,"M",1983-06-06,"Kingston (CAN)",0,0,0,0,"Athletics","Men's Marathon"
"Wade Paton","South Africa",26,1.76,75,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Walter Lapeyre","France",36,1.7,66,"M",1976-09-02,"Pau (FRA)",0,0,0,0,"Shooting","Men's 50m Pistol, Men's 10m Air Pistol"
"Wassim Helal","Tunisia",30,1.93,87,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Wayne Davis","Trinidad and Tobago",20,1.71,70,"M",NA,"NORTH CAROLINA (USA)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Werknesh Kidane","Ethiopia",31,1.6,41,"F",1981-07-01,"Tigray (ETH)",0,0,0,0,"Athletics","Women's 10,000m"
"Wissem Hosni","Tunisia",27,1.75,53,"M",1985-08-03,"BOUSALEM (TUN)",0,0,0,0,"Athletics","Men's Marathon"
"Yifang Xian","France",34,1.7,62,"F",NA,"Baoding",0,0,0,0,"Table Tennis","Women's Singles"
"Limei Xie","People's Republic of China",26,1.71,52,"F",NA,"FUJIAN (CHN)",0,0,0,0,"Athletics","Women's Triple Jump"
"Wenjun Xie","People's Republic of China",22,1.9,85,"M",1990-11-07,"Shanghai (CHN)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Zhenye Xie","People's Republic of China",18,1.78,130,"M",NA,"Zhejiang (CHN)",0,0,0,0,"Athletics","Men's 200m"
"Xin Xin","People's Republic of China",15,1.75,58,"F",1996-06-11,"Shandong (CHN)",0,0,0,0,"Swimming","Women's 800m Freestyle"
"Yu Xing","People's Republic of China",21,1.88,77,"M",1991-12-03,"Beijing",0,0,0,0,"Archery","Men's Individual, Men's Team"
"Anqi Xu","People's Republic of China",20,1.83,75,"F",1992-01-23,"",0,0,0,0,"Fencing","Women's Team Epee"
"Chen Xu","People's Republic of China",27,1.86,80,"M",NA,"Jiangsu",0,1,0,1,"Badminton","Mixed Doubles"
"Dongxiang Xu","People's Republic of China",29,1.74,59,"F",NA,"",0,0,0,0,"Rowing","Women's Lightweight Double Sculls"
"Jiayu Xu","People's Republic of China",16,1.84,72,"M",NA,"Zhejiang (CHN)",0,0,0,0,"Swimming","Men's 200m Backstroke"
"Jing Xu","People's Republic of China",21,1.69,70,"F",1990-06-09,"Shandong",0,1,0,1,"Archery","Women's Individual, Women's Team"
"Lijia Xu","People's Republic of China",24,1.76,60,"F",NA,"Shanghai (CHN)",0,0,0,0,"Sailing","Women's Laser Radial"
"Lili Xu","People's Republic of China",24,1.66,63,"F",NA,"Shandong (CHN)",0,1,0,1,"Judo","Women's -63kg"
"Linyin Xu","People's Republic of China",26,2.02,80,"M",NA,"",0,0,0,0,"BeachVllybll","Men's Beach Volleyball"
"Xiaoxu Xu","People's Republic of China",25,1.62,55,"F",1986-08-08,"Beijing (CHN)",0,0,0,0,"Hockey","Women's Hockey"
"Yunli Xu","People's Republic of China",25,1.96,75,"F",1987-02-08,"FUJIAN (CHN)",0,0,0,0,"Volleyball","Women's Volleyball"
"Chen Xue","People's Republic of China",23,1.9,79,"F",NA,"",0,0,0,0,"BeachVllybll","Women's Beach Volleyball"
"Xin Guan","People's Republic of China",25,1.95,90,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Xing Han","Congo",22,1.65,58,"F",1989-08-11,"Brazzaville (CGO)",0,0,0,0,"Table Tennis","Women's Singles"
"Isabelle Yacoubou","France",26,1.9,100,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Narsingh Pancham Yadav","India",22,NA,NA,"M",1989-06-08,"VARANASI (IND)",0,0,0,0,"Wrestling","Men's 74kg Freestyle"
"Ram Singh Yadav","India",31,NA,NA,"M",1980-07-11,"BABIYAV VARANASI (IND)",0,0,0,0,"Athletics","Men's Marathon"
"Kanae Yagi","Japan",20,1.52,52,"F",NA,"Kobe",0,0,0,0,"Weightliftng","Women's 53kg"
"Brigitte Yague Enrique","Spain",31,1.62,NA,"F",NA,"MALLORCA (ESP)",0,0,0,0,"Taekwondo","Women's -49kg"
"Midori Yajima","Japan",33,1.7,77,"M",NA,"Ibaraki (JPN)",0,0,0,0,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
"Alexey Yakimenko","Russian Federation",28,1.84,79,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre, Men's Team Sabre"
"Lionel Yakouya","Gabon",22,NA,NA,"M",1990-12-07,"",0,0,0,0,"Football","Men's Football"
"Vladislav Yakovlev","Kazakhstan",19,1.84,82,"M",1993-01-01,"",0,0,0,0,"Rowing","Men's Single Sculls"
"Genet Yalew","Ethiopia",19,1.58,46,"F",NA,"ASKUNA (ETH)",0,0,0,0,"Athletics","Women's 5000m"
"Kirsty Yallop","New Zealand",25,1.65,60,"F",1986-04-11,"",0,0,0,0,"Football","Women's Football"
"Ryota Yamagata","Japan",20,1.76,67,"M",1992-10-06,"HIROSHIMA (JPN)",0,0,0,0,"Athletics","Men's 100m, Men's 4 x 100m Relay"
"Hotaru Yamaguchi","Japan",21,1.73,64,"M",1990-06-10,"",0,0,0,0,"Football","Men's Football"
"Mai Yamaguchi","Japan",29,1.76,62,"F",1983-03-07,"SHIMA (JPN)",0,0,0,0,"Volleyball","Women's Volleyball"
"Kohei Yamamoto","Japan",26,1.82,69,"M",NA,"MAKUBETSU (JPN)",0,0,0,0,"Cyclng-MntnB","Men's Cross-country"
"Ryo Yamamoto","Japan",28,1.73,60,"M",NA,"Kobe (JPN)",0,0,0,0,"Athletics","Men's Marathon"
"Seito Yamamoto","Japan",20,1.78,66,"M",1992-11-03,"OKAZAKI (JPN)",0,0,0,0,"Athletics","Men's Pole Vault"
"Yukari Yamamoto","Japan",31,1.6,53,"F",NA,"NITA (JPN)",0,0,0,0,"Hockey","Women's Hockey"
"Kazuya Yamamura","Japan",22,1.86,76,"M",1989-02-12,"",0,0,0,0,"Football","Men's Football"
"Koji Yamamuro","Japan",23,1.59,NA,"M",NA,"KOGA (JPN)",0,1,0,1,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Shino Yamanaka","Japan",22,1.57,42,"F",1990-03-08,"KOCHI (JPN)",0,0,0,0,"ModrnPntthln","Women's Modern Pentathlon"
"Erina Yamane","Japan",21,1.87,76,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Mara Yamauchi","Great Britain",38,1.62,51,"F",NA,"Oxford (GBR)",0,0,0,0,"Athletics","Women's Marathon"
"Ryohei Yamazaki","Japan",23,1.72,72,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Yuki Yamazaki","Japan",28,1.79,63,"M",NA,"Toyama (JPN)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"Eun-Hye Yang","Republic of Korea",25,1.63,58,"F",NA,"JEJU",0,0,0,0,"Weightliftng","Women's 58kg"
"Hak Seon Yang","Republic of Korea",19,1.59,NA,"M",1992-06-12,"Seoul (KOR)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Hyo-Jin Yang","Republic of Korea",22,1.9,72,"F",NA,"BUSAN (KOR)",0,0,0,0,"Volleyball","Women's Volleyball"
"Jun Yang","People's Republic of China",24,1.8,69,"F",NA,"Beijing (CHN)",0,0,0,0,"Water Polo","Women's Water Polo"
"Junjing Yang","People's Republic of China",23,1.9,70,"F",NA,"HENAN (CHN)",0,0,0,0,"Volleyball","Women's Volleyball"
"Kyong Il Yang","Democratic People's Republic  of Korea",22,1.58,55,"M",1989-07-08,"Pyongyang (PRK)",0,0,0,0,"Wrestling","Men's 55kg Freestyle"
"Shu-Chun Yang","Taipei (Chinese Taipei)",26,1.68,NA,"F",NA,"TAIPEI COUNTY (TPE)",0,0,0,0,"Taekwondo","Women's -49kg"
"Soo Jin Yang","Republic of Korea",23,1.65,51,"F",1988-02-09,"CHOONCHEON (KOR)",0,0,0,0,"ModrnPntthln","Women's Modern Pentathlon"
"Xiuli Yang","People's Republic of China",28,1.75,78,"F",1983-01-09,"Liaoning (CHN)",0,0,0,0,"Judo","Women's -78kg"
"Yansheng Yang","People's Republic of China",24,1.9,75,"M",1988-05-01,"Shandong (CHN)",0,0,0,0,"Athletics","Men's Pole Vault"
"Zhixian Yang","People's Republic of China",20,1.8,70,"M",NA,"HUNAN (CHN)",0,0,0,0,"Swimming","Men's 400m Individual Medley"
"Zi Yang","Singapore",28,1.84,78,"M",NA,"Beijing",0,0,0,0,"Table Tennis","Men's Singles, Men's Team"
"Naphaswan Yangpaiboon","Thailand",24,1.62,66,"F",1988-12-05,"CHIANG MAI (THA)",0,0,0,0,"Shooting","Women's 10m Air Pistol, Women's 25m Pistol"
"Nevin Yanit","Turkey",26,1.63,62,"F",NA,"Mersin (TUR)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"Rachel Yankey","Great Britain",32,1.64,56,"F",1979-01-11,"",0,0,0,0,"Football","Women's Football"
"Kyoko Yano","Japan",28,1.65,60,"F",1984-03-06,"",0,0,0,0,"Football","Women's Football"
"Jie Yao","Netherlands",35,1.76,65,"F",1977-10-04,"HUBEL",0,0,0,0,"Badminton","Women's Singles"
"Jinnan Yao","People's Republic of China",17,1.45,NA,"F",1995-08-02,"FUJIAN (CHN)",0,0,0,0,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Lei Yao","Singapore",22,1.68,65,"F",NA,"Jiangsu",0,0,0,0,"Badminton","Women's Doubles"
"Yige Yao","People's Republic of China",16,1.84,62,"F",NA,"Liaoning (CHN)",0,0,0,0,"Swimming","Women's 200m Backstroke"
"Hanna Yaroshchuk","Ukraine",22,1.76,57,"F",NA,"Dnipropetrovsk (UKR)",0,0,0,0,"Athletics","Women's 400m Hurdles"
"Liubov Yaskevich","Russian Federation",27,1.6,67,"F",NA,"KEMEROVO (RUS)",0,0,0,0,"Shooting","Women's 10m Air Pistol"
"Nastassia Yatsevich","Belarus",27,1.58,46,"F",NA,"Omsk (RUS)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Lalita Yauhleuskaya","Australia",48,1.58,64,"F",NA,"SOKOL (RUS)",0,0,0,0,"Shooting","Women's 10m Air Pistol, Women's 25m Pistol"
"Kazuki Yazawa","Japan",23,1.67,65,"M",1989-04-03,"IIDA (JPN)",0,0,0,0,"Canoe Slalom","Men's Kayak (K1)"
"Reza Mohammad Ali Yazdani","Islamic Republic of Iran",27,1.82,96,"M",NA,"JOYBAR (IRI)",0,0,0,0,"Wrestling","Men's 96kg Freestyle"
"Shiwen Ye","People's Republic of China",16,1.72,64,"F",1996-01-03,"Zhejiang (CHN)",2,0,0,2,"Swimming","Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
"Julius Yego","Kenya",23,1.75,85,"M",1989-04-01,"NANDI SOUTH (KEN)",0,0,0,0,"Athletics","Men's Javelin Throw"
"Daniyar Yeleussinov","Kazakhstan",21,1.78,NA,"M",NA,"Astana (KAZ)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"Yuliya Yelistratova","Ukraine",24,1.64,52,"F",NA,"OVRUCH (UKR)",0,0,0,0,"Triathlon","Women's Triathlon"
"Foo Ee Yeo","Singapore",25,1.71,64,"M",NA,"Singapore (SIN)",0,0,0,0,"Athletics","Men's 100m"
"Woon Kon Yeo","Republic of Korea",37,1.73,74,"M",1974-04-09,"",0,0,0,0,"Hockey","Men's Hockey"
"Ken Nee Yeoh","Malaysia",29,1.7,72,"M",NA,"KUALA LUMPUR (MAS)",0,0,0,0,"Diving","Men's 3m Springboard"
"Blaise Yepmou Mendouo","Cameroon",27,1.83,NA,"M",1985-02-01,"Douala (CMR)",0,0,0,0,"Boxing","Men's Super Heavy (+91kg)"
"Arman Yeremyan","Armenia",26,1.85,NA,"M",NA,"Yerevan (ARM)",0,0,0,0,"Taekwondo","Men's -80kg"
"Feruza Yergeshova","Kazakhstan",20,1.72,NA,"F",NA,"Shymkent (KAZ)",0,0,0,0,"Taekwondo","Women's +67kg"
"Kalidou Yero","Senegal",20,1.95,89,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Elif Jale Yesilirmak","Turkey",26,NA,NA,"F",NA,"SMOLENSK CITY (RUS)",0,0,0,0,"Wrestling","Women's 63kg Freestyle"
"Chui Ling Yeung","Hong Kong, China",29,1.63,56,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Epee"
"Jianlian Yi","People's Republic of China",24,2.12,113,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Li Yi","People's Republic of China",24,2.03,86,"M",1987-07-11,"",0,0,0,0,"Basketball","Men's Basketball"
"Siling Yi","People's Republic of China",23,1.65,54,"F",1989-06-05,"Guangdong (CHN)",1,0,0,1,"Shooting","Women's 10m Air Rifle"
"Anthony Yigit","Sweden",20,1.71,NA,"M",1991-01-09,"FARSTA STOCKHOLM (SWE)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"Neslihan Yigit","Turkey",18,1.8,65,"F",NA,"Bursa",0,0,0,0,"Badminton","Women's Singles"
"Elif Yildirim","Turkey",22,NA,NA,"F",NA,"Bursa (TUR)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Ediz Yildirimer","Turkey",18,1.75,65,"M",NA,"KOCAELI (TUR)",0,0,0,0,"Swimming","Men's 1500m Freestyle"
"Nevriye Yilmaz","Turkey",32,1.94,85,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Junghyun Yim","Republic of Korea",24,1.82,66,"M",1987-08-09,"JEONNAM (KOR)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"Anna Yin","People's Republic of China",20,1.65,47,"F",NA,"Shandong (CHN)",0,0,0,0,"Athletics","Women's 3000m Steeplechase"
"Elizabeth Yin","Singapore",20,1.67,70,"F",1991-08-08,"Singapore (SIN)",0,0,0,0,"Sailing","Women's Laser Radial"
"Pui Yin Yip","Hong Kong, China",24,1.64,59,"F",1987-06-08,"Hong Kong",0,0,0,0,"Badminton","Women's Singles"
"Marjo Yli-Kiikka","Finland",34,1.62,65,"F",NA,"ISOKYRO (FIN)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"Johanna Ylinen","Finland",28,1.68,63,"F",NA,"Pori (FIN)",0,0,0,0,"Judo","Women's -63kg"
"Inna Yoffe","Israel",24,1.67,NA,"F",1988-08-02,"SANT PETERBURG (RUS)",0,0,0,0,"SynchrnsdSwm","Women's Duets"
"Carine Yoh","Cameroon",19,1.56,57,"F",1993-10-04,"",0,0,0,0,"Football","Women's Football"
"Tony Yoka","France",20,1.97,NA,"M",NA,"PARIS 18 (FRA)",0,0,0,0,"Boxing","Men's Super Heavy (+91kg)"
"Masato Yokota","Japan",24,1.77,63,"M",NA,"MINATO (JPN)",0,0,0,0,"Athletics","Men's 800m"
"Tatsuhiro Yonemitsu","Japan",25,1.69,66,"M",1986-05-08,"FUJIYOSHIDA (JPN)",0,0,0,0,"Wrestling","Men's 66kg Freestyle"
"Takuji Yonemoto","Japan",21,1.76,65,"M",1990-03-12,"",0,0,0,0,"Football","Men's Football"
"Yeon Seong Yoo","Republic of Korea",25,1.81,74,"M",NA,"Seoul",0,0,0,0,"Badminton","Men's Doubles"
"Kyung Shin Yoon","Republic of Korea",39,2.03,110,"M",1973-07-07,"",0,0,0,0,"Handball","Men's Handball"
"Sung Hoon Yoon","Republic of Korea",29,1.77,73,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Kurumi Yoshida","Japan",20,1.67,NA,"F",1991-01-12,"Osaka (JPN)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Maya Yoshida","Japan",23,1.89,81,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Saori Yoshida","Japan",29,1.57,55,"F",1982-05-10,"TSU (JPN)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"Yugo Yoshida","Japan",28,1.81,72,"M",1983-11-11,"KARATSU (JPN)",0,0,0,0,"Sailing","Men's 470"
"Mika Yoshikawa","Japan",27,1.55,39,"F",NA,"SAGAMIHARA (JPN)",0,0,0,0,"Athletics","Women's 5000m, Women's 10,000m"
"Viktor Yosifov","Bulgaria",26,2.04,95,"M",NA,"OMURTAG (BUL)",0,0,0,0,"Volleyball","Men's Volleyball"
